Time (ms),TCNitrousRun,PTFill,LCThrust
33077.0,0.4625641,1.964689,1.54967
33080.0,0.4029304,1.747106,1.220073
33082.0,0.2667399,1.544029,1.016996
33085.0,0.1708425,1.382051,0.8461538
33087.0,0.02175824,1.247473,0.7542857
33090.0,-0.06769231,1.115311,0.6801465
33092.0,-0.1079854,1.064542,0.6084249
33095.0,-0.1369963,1.025055,0.5552382
33097.0,-0.1877656,1.035531,0.5649085
33100.0,-0.2046886,1.037143,0.5431502
33103.0,-0.2208059,1.017802,0.5568499
33105.0,-0.2208059,0.9742857,0.5189744
33107.0,-0.1982418,0.961392,0.492381
33110.0,-0.179707,0.9243223,0.4714286
33113.0,-0.2369231,0.9968498,0.498022
33115.0,-0.2304762,1.002491,0.4851282
33118.0,-0.2232234,0.9952381,0.4907692
33121.0,-0.2288645,0.9895971,0.5181685
33123.0,-0.22,0.9710623,0.5004396
33125.0,-0.2103297,0.9581685,0.4891575
33128.0,-0.2304762,0.972674,0.5020513
33131.0,-0.2385348,0.9968498,0.5117216
33133.0,-0.2353114,1.000879,0.509304
33135.0,-0.2369231,1.000073,0.5044689
33138.0,-0.2538462,0.9742857,0.5157509
33140.0,-0.2224176,0.9597803,0.4947986
33143.0,-0.2135531,0.9533334,0.4867399
33146.0,-0.2353114,0.9767034,0.4939927
33148.0,-0.2393407,0.9775092,0.5181685
33150.0,-0.2353114,0.9992674,0.4996337
33153.0,-0.2465934,1.008132,0.5254212
33156.0,-0.2586813,0.9734798,0.5302564
33158.0,-0.2280586,0.961392,0.5076923
33161.0,-0.2288645,0.9646154,0.5028572
33163.0,-0.2393407,0.9775092,0.4996337
33165.0,-0.2272527,0.984762,0.4915751
33168.0,-0.2594872,1.001685,0.5407326
33171.0,-0.2409524,0.9863737,0.5213919
33173.0,-0.2119414,0.9517217,0.4907692
33175.0,-0.2191941,0.9525275,0.4964103
33178.0,-0.225641,0.9589744,0.4972161
33180.0,-0.2183883,0.9694506,0.4875458
33183.0,-0.2570696,0.9952381,0.5238095
33186.0,-0.2562637,1.004103,0.5221978
33188.0,-0.2377289,0.9501099,0.4996337
33191.0,-0.2506227,0.9533334,0.4964103
33193.0,-0.2401465,0.961392,0.4964103
33196.0,-0.2417583,0.9775092,0.4899634
33198.0,-0.2554579,1.002491,0.5173626
